,best_AR_epoch,AP,AP0.5,AP0.95,APM,APL,AR,AR0.5,AR0.95,ARM,ARL,arch,regime,domain
dla_1x_color,130.0,0.4586453731614191,0.7202209287450945,0.49985297397249495,0.32084687845260057,0.5885793548946818,0.5624999999999999,0.8392857142857143,0.6142857142857143,0.47711864406779664,0.6592105263157895,dla,1x,color
dla_1x_color_finetune_50e_bs32_mb8_lr5e-4,46.0,0.6565650565684181,0.9298617987971467,0.763840557221225,0.6087201829801343,0.7141725916440763,0.7514285714285714,0.9678571428571429,0.8535714285714285,0.702542372881356,0.805921052631579,dla,1x,color
dla_1x_color_finetune_50e_bs32_mb8_lr5e-4_wd35-45,48.0,0.6268061442887896,0.9004740871419854,0.7434659560084159,0.5251203722908965,0.72223981702152,0.73,0.9607142857142857,0.825,0.6550847457627118,0.8032894736842104,dla,1x,color
dla_1x_color_finetune_50e_bs32_mb8_lr5e-4_wd40-47,48.0,0.6493704302790398,0.9065058410711705,0.7725948658674416,0.6073245351375824,0.7113883037193769,0.7442857142857143,0.9571428571428572,0.8357142857142857,0.7084745762711864,0.7960526315789472,dla,1x,color
dla_1x_color_finetune_bs16_mb8_lr5e-3,8.0,0.00176687204971377,0.011652921900344643,0.0,0.0016087068580310886,0.0028933944064460813,0.031071428571428573,0.15357142857142858,0.0,0.008474576271186442,0.0506578947368421,dla,1x,color
dla_1x_color_finetune_bs16_mb8_lr5e-4,8.0,0.5992007926748132,0.9025459993086502,0.7129262988000663,0.5406814185208604,0.7012467785565054,0.71,0.9535714285714286,0.8178571428571428,0.6618644067796611,0.7690789473684212,dla,1x,color
dla_1x_color_finetune_bs16_mb8_lr5e-5,10.0,0.5652351964228554,0.8766064812844601,0.6567841282431285,0.4800984822586691,0.6731574111645859,0.6735714285714286,0.95,0.7571428571428571,0.6135593220338984,0.7421052631578948,dla,1x,color
dla_1x_color_finetune_bs32_mb8_lr5e-3,2.0,0.0015996214005241597,0.01124858739843724,0.0,0.0006481555260358249,0.005183614451897606,0.034999999999999996,0.16785714285714284,0.0,0.021186440677966104,0.04802631578947369,dla,1x,color
dla_1x_color_finetune_bs32_mb8_lr5e-4,10.0,0.6003505654823598,0.8962456424234568,0.7156265297531718,0.5204298474403075,0.7123606673922225,0.7124999999999999,0.9571428571428572,0.8214285714285714,0.6423728813559323,0.7934210526315789,dla,1x,color
dla_1x_color_finetune_bs32_mb8_lr5e-5,10.0,0.5517406486422165,0.8768937005917418,0.6181648883901162,0.47567793475982006,0.6468001621465016,0.6485714285714286,0.9464285714285714,0.7178571428571429,0.5983050847457627,0.7118421052631579,dla,1x,color
dla_1x_color_finetune_bs56_mb8_lr5e-3,2.0,0.0029113631387729564,0.01906522918834077,0.0,0.003050762553920526,0.004880032600826,0.062142857142857146,0.2785714285714286,0.0,0.05338983050847458,0.07302631578947369,dla,1x,color
dla_1x_color_finetune_bs56_mb8_lr5e-4,10.0,0.6057535036121294,0.8962402877772119,0.7217167499647317,0.5290535029047193,0.7139587033697601,0.7096428571428571,0.95,0.8214285714285714,0.6533898305084747,0.7717105263157895,dla,1x,color
dla_1x_color_finetune_bs56_mb8_lr5e-5,10.0,0.525007397868969,0.8488480303107321,0.6125978512994416,0.45121008790250955,0.6122111036921678,0.6289285714285714,0.9321428571428572,0.7178571428571429,0.5779661016949152,0.6881578947368421,dla,1x,color
dla_1x_color_finetune_bs8_mb8_lr5e-3,8.0,5.168875416588866e-05,0.0003406682585212248,0.0,1.469334645829974e-05,9.85311662182709e-05,0.008214285714285714,0.04642857142857143,0.0,0.00423728813559322,0.011842105263157893,dla,1x,color
dla_1x_color_finetune_bs8_mb8_lr5e-4,6.0,0.5782721276985638,0.888987353433072,0.6577815541431565,0.513395051299805,0.6973093661362241,0.6989285714285713,0.9464285714285714,0.7857142857142857,0.6406779661016949,0.7703947368421054,dla,1x,color
dla_1x_color_finetune_bs8_mb8_lr5e-5,8.0,0.5703923000097552,0.893672328435861,0.6559353298950453,0.4774264812963006,0.7038751298294925,0.6821428571428572,0.9642857142857143,0.7678571428571429,0.6076271186440678,0.7644736842105263,dla,1x,color
dla_1x_thermal,120.0,0.4850158868435416,0.7347768346854404,0.5580311541996151,0.38160869891977195,0.5946696860665446,0.5817857142857144,0.8357142857142857,0.65,0.5186440677966102,0.6546052631578947,dla,1x,thermal
dla_1x_thermal_finetune_30e,49.0,0.6590539027476249,0.9545559012015034,0.7764606946823277,0.6271942661683371,0.7102684530872403,0.7521428571428572,0.9857142857142858,0.8571428571428571,0.711864406779661,0.7980263157894736,dla,1x,thermal
dla_1x_thermal_finetune_50e_bs16_lr5e-4,24.0,0.6386884303318987,0.8916722119186966,0.7688956984316737,0.5474294174798273,0.7325605180270334,0.7492857142857143,0.9642857142857143,0.8607142857142858,0.6855932203389831,0.8105263157894737,dla,1x,thermal
dla_1x_thermal_finetune_50e_bs16_lr5e-4_wd35-45,48.0,0.6676329044391484,0.9473120399479555,0.7625484460195273,0.6068632496071786,0.7294798629678285,0.7553571428571428,0.9785714285714285,0.8357142857142857,0.7076271186440678,0.805921052631579,dla,1x,thermal
dla_1x_thermal_finetune_50e_bs16_lr5e-4_wd40-48,22.0,0.6528667785467116,0.9392876577603633,0.782776816039647,0.5855793424212128,0.7288508989512683,0.7539285714285715,0.9857142857142858,0.8642857142857143,0.6932203389830509,0.8105263157894738,dla,1x,thermal
dla_1x_thermal_finetune_50e_wd35-45,40.0,0.6631924068424017,0.9638997113424403,0.7869063239712992,0.607279581559479,0.7387169193348585,0.7578571428571429,0.9892857142857143,0.8642857142857143,0.7,0.8197368421052632,dla,1x,thermal
dla_1x_thermal_finetune_50e_wd40-47,40.0,0.6691547619051058,0.9401004914327227,0.81863623185888,0.5943949647781512,0.7405326524691386,0.7510714285714285,0.9714285714285714,0.8714285714285714,0.6923728813559322,0.8118421052631579,dla,1x,thermal
dla_1x_thermal_finetune_5e-3,7.0,0.4166835038838318,0.8203394078408659,0.3780988141575264,0.40532238485731764,0.474957206507864,0.5260714285714285,0.8928571428571429,0.55,0.5135593220338983,0.5552631578947369,dla,1x,thermal
dla_1x_thermal_finetune_5e-4,9.0,0.5264210969146326,0.8357491970912224,0.5906765927105319,0.437193582374387,0.623896174825545,0.6174999999999999,0.9035714285714286,0.7,0.5516949152542373,0.6901315789473684,dla,1x,thermal
dla_1x_thermal_finetune_5e-5,9.0,0.5050426421330092,0.8167536360297021,0.5749160481547017,0.4102194582963383,0.6178041194467205,0.6167857142857143,0.8964285714285715,0.7035714285714286,0.5491525423728814,0.6907894736842105,dla,1x,thermal
dla_1x_thermal_finetune_5e-6,1.0,0.4548806281913447,0.7042996204617731,0.5103876621562993,0.36332560986418255,0.5554607425255843,0.5553571428571428,0.8142857142857143,0.6035714285714285,0.5,0.6217105263157896,dla,1x,thermal
dla_1x_thermal_finetune_bs16_mb8_lr5e-3,4.0,0.00039526709831284927,0.002461151829304699,0.0,0.0010713485859571074,0.0005857350304733032,0.02035714285714286,0.08928571428571429,0.0,0.006779661016949152,0.03223684210526316,dla,1x,thermal
dla_1x_thermal_finetune_bs16_mb8_lr5e-4,10.0,0.6170570948214523,0.9129398188021061,0.7280507607466916,0.5539775261450208,0.7149204666425474,0.72,0.9714285714285714,0.8142857142857143,0.6601694915254237,0.7855263157894737,dla,1x,thermal
dla_1x_thermal_finetune_bs16_mb8_lr5e-5,10.0,0.5584690661533436,0.8644225858933676,0.6396805733253838,0.47807790038632103,0.6755528059645752,0.6728571428571428,0.9357142857142857,0.7607142857142857,0.6042372881355933,0.7519736842105263,dla,1x,thermal
dla_1x_thermal_finetune_bs32_mb8_lr5e-3,2.0,0.0888985666702731,0.3615528447479733,0.01736813841758382,0.08342011029232688,0.1249141781639206,0.1732142857142857,0.5892857142857143,0.04285714285714286,0.14576271186440676,0.20394736842105265,dla,1x,thermal
dla_1x_thermal_finetune_bs32_mb8_lr5e-4,10.0,0.591345560409581,0.8787678756015095,0.7047914496712583,0.5139609311778673,0.70481116126791,0.7082142857142857,0.95,0.8178571428571428,0.6398305084745762,0.7855263157894737,dla,1x,thermal
dla_1x_thermal_finetune_bs32_mb8_lr5e-5,10.0,0.5380336629596418,0.8440894636638216,0.6255701727882386,0.46536561576970054,0.6426406539404599,0.6453571428571429,0.9178571428571428,0.7357142857142858,0.5822033898305085,0.7177631578947369,dla,1x,thermal
dla_1x_thermal_finetune_bs8_mb8_lr5e-3,8.0,0.0011940584261924759,0.010271472572188264,0.0,1.0841659392761486e-05,0.0016426359356483222,0.0075000000000000015,0.05,0.0,0.006779661016949152,0.008552631578947369,dla,1x,thermal
dla_1x_thermal_finetune_bs8_mb8_lr5e-4,10.0,0.6088637391017522,0.9035768617665979,0.7299898096699877,0.5353114508325644,0.7247951528474699,0.7153571428571428,0.9535714285714286,0.825,0.6516949152542373,0.7888157894736841,dla,1x,thermal
dla_1x_thermal_finetune_bs8_mb8_lr5e-5,8.0,0.5501312806204839,0.8514271095968869,0.638455645713422,0.45158403344121023,0.6796424985925039,0.6717857142857142,0.9321428571428572,0.7642857142857142,0.5991525423728814,0.7519736842105262,dla,1x,thermal
dla_3x_gray,285.0,0.5363227611435776,0.7945624727095547,0.6146273421423513,0.4603075934730647,0.6201362561648859,0.6203571428571429,0.875,0.6964285714285714,0.5627118644067797,0.6907894736842105,dla,3x,gray
dla_3x_gray_0frz,50.0,0.6915995975688111,0.934977295791108,0.8039721180787307,0.6219561655952409,0.7690952145083686,0.7717857142857143,0.9714285714285714,0.8678571428571429,0.7169491525423728,0.8368421052631577,dla,3x,gray
dla_3x_gray_1frz,45.0,0.68859816164037,0.9409464082905945,0.8152654262940687,0.6174779670317224,0.7716459932700714,0.7664285714285713,0.9642857142857143,0.8714285714285714,0.7042372881355932,0.8368421052631578,dla,3x,gray
dla_3x_gray_2frz,50.0,0.6811578552583339,0.9377850370046557,0.7966813437829467,0.6016966260708227,0.7653499163731,0.7635714285714286,0.9678571428571429,0.8607142857142858,0.7059322033898306,0.8289473684210525,dla,3x,gray
dla_3x_gray_384,290.0,0.47733860160494346,0.737716490724285,0.5587852457790756,0.3792279057047901,0.5640131427994743,0.5807142857142857,0.8464285714285714,0.65,0.5322033898305085,0.6381578947368421,dla,3x,gray
dla_3x_gray_384_0frz,50.0,0.7036215382607056,0.9306543737121175,0.8336842218763705,0.6507331780296532,0.7547506104842361,0.7803571428571427,0.975,0.8892857142857142,0.7457627118644068,0.8184210526315789,dla,3x,gray
dla_3x_gray_3frz,40.0,0.6638370855390284,0.9353835981529611,0.7550184390581366,0.5924939449326806,0.7434146042662028,0.7628571428571428,0.9785714285714285,0.8535714285714285,0.7127118644067796,0.8236842105263158,dla,3x,gray
dla_3x_gray_4frz,40.0,0.6351802337365104,0.9148673106277498,0.7211584553277908,0.5415447776438154,0.7376580133789346,0.7278571428571429,0.9607142857142857,0.8142857142857143,0.6593220338983051,0.805921052631579,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs16_lr5e-2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs16_lr5e-3,8.0,0.45234114396414227,0.7456437812179102,0.511318081097684,0.4206955716998038,0.5519296784534132,0.5792857142857143,0.85,0.6392857142857142,0.552542372881356,0.6203947368421053,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs16_lr5e-4,10.0,0.4818195412482162,0.7364024466902284,0.540091161757513,0.42240630946178465,0.5758977125764679,0.5785714285714285,0.8321428571428572,0.625,0.5338983050847458,0.6348684210526316,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs16_lr5e-5,2.0,0.5001704942635468,0.7338115034876239,0.5669659018318274,0.42681503779185537,0.5799447524693612,0.5842857142857143,0.825,0.6428571428571429,0.5491525423728814,0.6342105263157894,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs16_lr5e-6,10.0,0.49828329509245994,0.7357324256439455,0.5818386030060179,0.42222287996923913,0.5812478946240944,0.5774999999999999,0.8178571428571428,0.65,0.5355932203389829,0.6342105263157894,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs32_lr5e-2,4.0,0.0014252560229596927,0.0038478845928834964,0.0006050828273941274,0.008859739743100972,0.0,0.1025,0.21785714285714286,0.08928571428571429,0.22288135593220337,0.0,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs32_lr5e-3,8.0,0.5016741857057453,0.778403391933193,0.5697397046731876,0.4413646552181063,0.5889907075769206,0.5971428571428572,0.8607142857142858,0.65,0.5610169491525423,0.6473684210526317,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs32_lr5e-4,10.0,0.49229094089513264,0.741522227011659,0.5682705683633912,0.42814928646352274,0.5771226041979204,0.5821428571428571,0.825,0.6428571428571429,0.5423728813559322,0.6335526315789474,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs32_lr5e-5,2.0,0.5072961385799111,0.737753215265516,0.5866412493851116,0.42923714402110086,0.5910116545600311,0.5892857142857143,0.8214285714285714,0.6571428571428571,0.5474576271186441,0.6447368421052632,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs32_lr5e-6,4.0,0.5044807842229173,0.7392874546825186,0.5775724434645677,0.41872418994890825,0.5962554462195855,0.5846428571428571,0.8178571428571428,0.6535714285714286,0.5355932203389829,0.6453947368421054,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs56_lr5e-2,2.0,0.0002755519040418935,0.0013308051371079502,0.0,0.0010191266825492979,0.0,0.03749999999999999,0.1357142857142857,0.0,0.0847457627118644,0.0,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs56_lr5e-3,10.0,0.4701025559106375,0.7338959939877899,0.5272152745301146,0.4173913211812881,0.57319352759518,0.5810714285714286,0.8357142857142857,0.6357142857142857,0.544915254237288,0.631578947368421,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs56_lr5e-4,2.0,0.5043857502469992,0.754272513797972,0.5693834245893753,0.44753850873106066,0.5769688496999865,0.5835714285714285,0.825,0.6392857142857142,0.5508474576271186,0.6335526315789475,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs56_lr5e-5,2.0,0.5072961891704596,0.7471371140634189,0.5997018226227108,0.44469461848431613,0.5838972663923495,0.5839285714285715,0.8142857142857143,0.6642857142857143,0.5457627118644067,0.6394736842105264,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs56_lr5e-6,2.0,0.5157725051457843,0.7581911933927744,0.5978923902706407,0.44234156827648885,0.600708161003356,0.5942857142857143,0.8357142857142857,0.6607142857142857,0.5449152542372881,0.6559210526315791,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs8_lr5e-2,2.0,3.135306681914505e-05,0.00010331467929401636,0.0,6.367196205151062e-06,0.0,0.005,0.014285714285714285,0.0,0.001694915254237288,0.0,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs8_lr5e-3,4.0,0.4651243290009695,0.7524162798372139,0.5464376728899556,0.4193424552123051,0.5434257814150689,0.5578571428571428,0.8357142857142857,0.6285714285714286,0.5347457627118645,0.5973684210526315,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs8_lr5e-4,10.0,0.472485452990763,0.7307671774637895,0.5403206730457564,0.4268645832000531,0.5644067130243671,0.5796428571428571,0.8357142857142857,0.6428571428571429,0.5415254237288136,0.6296052631578948,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs8_lr5e-5,8.0,0.4934004946700279,0.7306876305028537,0.5643089374686329,0.42695105641906633,0.5699675605099842,0.5828571428571429,0.8392857142857143,0.6464285714285715,0.5466101694915254,0.6302631578947369,dla,3x,gray
dla_3x_gray_backbonefrz_mb8_bs8_lr5e-6,8.0,0.4938733706887212,0.7290389103079465,0.5598431873566017,0.42435319497096546,0.571099120152558,0.5821428571428571,0.825,0.6464285714285715,0.5457627118644068,0.631578947368421,dla,3x,gray
dla_3x_gray_finetune,36.0,0.692204642403247,0.9412036043335685,0.7867360398539862,0.6357871436175808,0.7605165938118439,0.767857142857143,0.9714285714285714,0.8464285714285714,0.7228813559322034,0.8256578947368421,dla,3x,gray
dla_3x_gray_finetune_384,45.0,0.694449014619615,0.925582751612193,0.8263249926095179,0.6286314231506932,0.7525739035449719,0.7678571428571429,0.9678571428571429,0.8857142857142857,0.7194915254237289,0.8184210526315789,dla,3x,gray
dla_3x_gray_finetune_mb8_bs16_lr3e-4,35.0,0.6912916619679549,0.9497669569809918,0.8077563617979897,0.6331307474499708,0.7560979991418095,0.7685714285714286,0.975,0.8678571428571429,0.721186440677966,0.8256578947368421,dla,3x,gray
dla_3x_gray_finetune_mb8_bs16_lr4e-4,35.0,0.6677943380470449,0.9252759611304001,0.7793204410013881,0.5988070605339533,0.7442494261562287,0.7617857142857142,0.9714285714285714,0.8642857142857143,0.7067796610169491,0.8243421052631579,dla,3x,gray
dla_3x_gray_finetune_mb8_bs16_lr6e-4,50.0,0.6832681675854073,0.9215494951820858,0.7884562966736749,0.6171682765152287,0.7581332923643817,0.7639285714285714,0.9642857142857143,0.8535714285714285,0.7067796610169491,0.830263157894737,dla,3x,gray
dla_3x_gray_finetune_mb8_bs16_lr7e-4,50.0,0.681582642240716,0.9415756337120639,0.7702866312138065,0.6213078967904517,0.7545461582618744,0.7696428571428571,0.9785714285714285,0.8571428571428571,0.7161016949152542,0.8315789473684209,dla,3x,gray
hg_1x_color,40.0,0.4705567265553323,0.7242449719104612,0.5333784942616066,0.4087318761086658,0.5447039535040908,0.5696428571428572,0.8178571428571428,0.6428571428571429,0.5313559322033898,0.625,hg,1x,color
hg_1x_color_finetune_20e,20.0,0.6676787754081486,0.9235246259164706,0.806681060297353,0.6353485319792033,0.7308412454908517,0.7592857142857142,0.9607142857142857,0.8714285714285714,0.7245762711864409,0.8105263157894737,hg,1x,color
hg_1x_color_finetune_20e_wd10-17,20.0,0.6626997324587758,0.9240558445842805,0.8080577197284535,0.6248570204161117,0.7448205836918125,0.7585714285714287,0.9642857142857143,0.8785714285714286,0.7169491525423728,0.8164473684210526,hg,1x,color
hg_1x_color_finetune_20e_wd15-18,18.0,0.6684938087891213,0.9396702209276878,0.7561833066802349,0.6399266104040547,0.7305946502364465,0.7585714285714287,0.9678571428571429,0.8428571428571429,0.7254237288135593,0.8072368421052631,hg,1x,color
hg_1x_color_finetune_bs16_mb4_lr2.5e-3,3.0,0.480171151636361,0.8809995805926648,0.4739496432120597,0.46471080842786583,0.5411444639015766,0.6096428571428572,0.9428571428571428,0.6571428571428571,0.6110169491525423,0.6269736842105262,hg,1x,color
hg_1x_color_finetune_bs16_mb4_lr2.5e-4,5.0,0.6385921930506311,0.9209356604592724,0.7700808543874992,0.5919818280069009,0.7306929230257545,0.7382142857142857,0.9607142857142857,0.85,0.6923728813559322,0.7947368421052631,hg,1x,color
hg_1x_color_finetune_bs16_mb4_lr2.5e-5,5.0,0.5599918323805539,0.8455817931908413,0.6614423747137936,0.5037546749983409,0.635122055863095,0.6425,0.9107142857142857,0.7392857142857143,0.6076271186440679,0.6967105263157894,hg,1x,color
hg_1x_color_finetune_bs24_mb4_lr2.5e-3,4.0,0.4774837954705234,0.8659412943843677,0.4873557102468701,0.49338215118012024,0.506712361460797,0.5821428571428571,0.9142857142857143,0.6285714285714286,0.6084745762711864,0.5789473684210527,hg,1x,color
